================================================================
LISTA DE MATERIAIS FILTRADA (SEM ITENS COM QR ÚNICO)
Instrução: Deixe apenas os itens que serão GRANEL/LOTE.
================================================================


[313] A.C - TV | CABEAMENTO
[180] ABraçadeira de Nylon Branca Fina - 3,6mm x 200m | INSUMOS
[316] Abracadeiras de Nylon preta 4,8mm x 400m - | INSUMOS
[123] Ac Trifasico | CABEAMENTO
[437] ADAPTADOR POWER COM | LOGISTICA
[389] ADPATADOR CABO WILDA | ILUMINAÇÃO
[386] Alicate para Tudo LED - Ponta Fina | EQUIPAMENTOS E ACESSORIOS
[164] ANDAIME DE FERRO - PEÇAS 2X1 | EQUIPAMENTOS E ACESSORIOS
[407] BOTA DE SEGURANÇA | EQUIPAMENTOS E ACESSORIOS
[285] Cabo  de Rede 0,50cm ( painel de ELD ) | CABEAMENTO
[292] CABO - P10 / P2 - 1 METRO | CABEAMENTO
[192] CABO 16MM 4 VIAS - PONTA VIVA - 50M | CABEAMENTO
[36] CABO BNC - ANTENAS MGA | SONORIZAÇÃO
[359] CABO BNC PARA ANTENA | CABEAMENTO
[254] CABO DE AÇO | ESTRUTURA
[439] CABO DE AÇO | EQUIPAMENTOS E ACESSORIOS
[362] CABO DE AÇO | CABEAMENTO
[163] CABO DE AÇO 0,90 CM | EQUIPAMENTOS E ACESSORIOS
[379] cabo de aco com 50 metros | EQUIPAMENTOS E ACESSORIOS
[336] Cabo de Energia 3 vias 20mt | CABEAMENTO
[468] Cabo de rede 100mt | CABEAMENTO
[322] Cabo de REDE 10m | CABEAMENTO
[286] Cabo de Rede 1m - (painel de LED) | CABEAMENTO
[271] Cabo de Rede 20m | CABEAMENTO
[325] Cabo de REDE 25 m ( PAINEL DE LED) | CABEAMENTO
[272] Cabo de Rede 2m | CABEAMENTO
[273] CABO DE REDE 50M | CABEAMENTO
[323] Cabo de rede 5m | CABEAMENTO
[446] CABO HDMI 40MT FIBRA | CABEAMENTO
[294] Cabo HDMI 5 metros | CABEAMENTO
[335] Cabo Hdmi De 2Mts | CABEAMENTO
[191] CABO MULTIVIAS LUZ - 6 VIAS - 20M | CABEAMENTO
[485] cabo Multivias SOM 20mt 8 vias 4 femea e 4 macho | CABEAMENTO
[184] CABO Multivias XLR  SOM 25M - 8 vias - 5 X 3 | CABEAMENTO
[190] CABO MULTIVIAS XLR - 8 VIAS - 20M - 5 X 3 | CABEAMENTO
[306] CABO MULTIVIAS XLR 5M - 8 VIAS | CABEAMENTO
[327] Cabo Power con Jump  + XLR JUMP - 0,50cm | CABEAMENTO
[326] Cabo Power Con Jump 10m ( Painel de LED) | CABEAMENTO
[296] Cabo Som - Y - 1 xlr femea para 2 xlr macho | CABEAMENTO
[194] CABO STECK 32 FEMEA | POMTA VIVA - 6MM | CABEAMENTO
[337] cabo steck de 5mts | CABEAMENTO
[479] cabo steck ponta viva 30mt | CABEAMENTO
[462] CABO SUB SNAKE 8 VIAS | CABEAMENTO
[361] CABO USB IMRESSORA | CABEAMENTO
[360] CABO WILDA | CABEAMENTO
[158] Cabo XLR LUZ - 1,5m | CABEAMENTO
[159] CABO XLR LUZ - 10M | CABEAMENTO
[161] CABO XLR LUZ - 2M (EMBORRACHADO) | CABEAMENTO
[160] CABO XLR LUZ - 5M | CABEAMENTO
[289] Cabo XLR LUZ 3m | CABEAMENTO
[151] CABO XLR SOM  3M | CABEAMENTO
[315] Cabo XLR SOM 0,50 | CABEAMENTO
[314] Cabo XLR SOM 1,00 | CABEAMENTO
[153] CABO XLR SOM 10M  - (AMARELO) | CABEAMENTO
[274] CABO XLR SOM 20M | CABEAMENTO
[152] Cabo XLR SOM 5m | CABEAMENTO
[390] CABOS TUBO LED | ILUMINAÇÃO
[167] CADEIRINHA - EPI | EQUIPAMENTOS E ACESSORIOS
[165] CAIXA DE FERRAMENTA | EQUIPAMENTOS E ACESSORIOS
[309] Caixa Organizadora com Tampa - 15 LT | EQUIPAMENTOS E ACESSORIOS
[308] Caixa organizadora com tampa 30l  - preta | EQUIPAMENTOS E ACESSORIOS
[454] CAIXA ORGANIZADORA DE 56L PRETA | EQUIPAMENTOS E ACESSORIOS
[421] Camisinha Para Box Truss Q30 - Cor Preta | ESTRUTURA
[168] CAPACETE  - EPI | EQUIPAMENTOS E ACESSORIOS
[256] CARPETE PRETO | ESTRUTURA
[293] Centopeia energia 10 pontos injetadas | CABEAMENTO
[154] chicote de energia 3 vias 20m | CABEAMENTO
[282] Chicote de Energia 6 vias 20m | CABEAMENTO
[147] CINTA CATRACA FINA | EQUIPAMENTOS E ACESSORIOS
[166] CINTA DE ELEVAÇÃO - TALHA 1 TONELADA | EQUIPAMENTOS E ACESSORIOS
[406] CINTA DE SEGURANÇA ALTURA | EQUIPAMENTOS E ACESSORIOS
[146] CINTA FLY | EQUIPAMENTOS E ACESSORIOS
[436] CONECTOR POWER COM | LOGISTICA
[438] CONECTOR XLR FÊME PAINEL | LOGISTICA
[452] CONECTOR XLR FEMÊA | LOGISTICA
[451] CONECTOR XLR MACHO | LOGISTICA
[387] Controle Tubo LED - Transmissor ( com Botoes) | EQUIPAMENTOS E ACESSORIOS

